trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
732436,2503,2016-12-31,Withdrawal,Withdrawal in cash,15,27875.50,Payment on Statement,,
730715,2497,2016-12-31,Withdrawal,Withdrawal in cash,15,18709.90,Payment on Statement,,
733937,2508,2016-12-31,Withdrawal,Withdrawal in cash,15,21579.10,Payment on Statement,,
802764,2736,2016-12-31,Withdrawal,Withdrawal in cash,15,32351.40,Payment on Statement,,
801171,2732,2016-12-31,Withdrawal,Withdrawal in cash,15,65012.50,Payment on Statement,,
804543,2741,2016-12-31,Withdrawal,Withdrawal in cash,15,82501.00,Payment on Statement,,
1040797,3558,2016-12-31,Withdrawal,Withdrawal in cash,15,55524.60,Payment on Statement,,
1042740,3566,2016-12-31,Withdrawal,Withdrawal in cash,15,30337.50,Payment on Statement,,
3562948,982,2016-12-31,Credit,Interest Credit,102,24663.30,Interest Credited,,
3563489,998,2016-12-31,Credit,Interest Credit,151,42039.70,Interest Credited,,
3565536,1062,2016-12-31,Credit,Interest Credit,196,45575.90,Interest Credited,,
3562808,979,2016-12-31,Credit,Interest Credit,143,35168.10,Interest Credited,,
3565287,1054,2016-12-31,Credit,Interest Credit,121,27754.80,Interest Credited,,
3563780,1005,2016-12-31,Credit,Interest Credit,213,51221.50,Interest Credited,,
3562678,977,2016-12-31,Credit,Interest Credit,156,34479.20,Interest Credited,,
3565759,1071,2016-12-31,Credit,Interest Credit,70,15193.60,Interest Credited,,
3564264,1019,2016-12-31,Credit,Interest Credit,150,30979.90,Interest Credited,,
3564736,1039,2016-12-31,Credit,Interest Credit,230,42099.50,Interest Credited,,
3565162,1051,2016-12-31,Credit,Interest Credit,108,32960.30,Interest Credited,,
3563850,1006,2016-12-31,Credit,Interest Credit,116,27864.30,Interest Credited,,
3563295,991,2016-12-31,Credit,Interest Credit,148,32176.00,Interest Credited,,
3564074,1016,2016-12-31,Credit,Interest Credit,154,45873.80,Interest Credited,,
3565659,1069,2016-12-31,Credit,Interest Credit,38,18893.00,Interest Credited,,
3563628,1000,2016-12-31,Credit,Interest Credit,241,46836.20,Interest Credited,,
3565017,1048,2016-12-31,Credit,Interest Credit,113,26959.20,Interest Credited,,
3562356,965,2016-12-31,Credit,Interest Credit,114,27462.50,Interest Credited,,
3564193,1018,2016-12-31,Credit,Interest Credit,121,26484.90,Interest Credited,,
3566044,1079,2016-12-31,Credit,Interest Credit,197,52257.30,Interest Credited,,
3565100,1050,2016-12-31,Credit,Interest Credit,172,37970.60,Interest Credited,,
655651,2241,2016-12-31,Withdrawal,Withdrawal in cash,15,31588.40,Payment on Statement,,
656123,2242,2016-12-31,Withdrawal,Withdrawal in cash,30,46267.50,Payment on Statement,,
695500,2378,2016-12-31,Withdrawal,Withdrawal in cash,15,62042.00,Payment on Statement,,
696104,2379,2016-12-31,Withdrawal,Withdrawal in cash,15,28197.30,Payment on Statement,,
3593111,1898,2016-12-31,Credit,Interest Credit,154,37830.50,Interest Credited,,
3590022,1811,2016-12-31,Credit,Interest Credit,164,49511.80,Interest Credited,,
3590894,1830,2016-12-31,Credit,Interest Credit,91,20222.90,Interest Credited,,
3590824,1829,2016-12-31,Credit,Interest Credit,117,26689.50,Interest Credited,,
3591061,1834,2016-12-31,Credit,Interest Credit,262,66062.50,Interest Credited,,
3593008,1896,2016-12-31,Credit,Interest Credit,259,77616.60,Interest Credited,,
3592826,1891,2016-12-31,Credit,Interest Credit,116,28114.90,Interest Credited,,
3589919,1809,2016-12-31,Credit,Interest Credit,78,29160.20,Interest Credited,,
3592887,1892,2016-12-31,Credit,Interest Credit,58,19419.90,Interest Credited,,
3591209,1837,2016-12-31,Credit,Interest Credit,217,47462.00,Interest Credited,,
3592000,1861,2016-12-31,Credit,Interest Credit,213,38657.60,Interest Credited,,
3590247,1816,2016-12-31,Credit,Interest Credit,22,13765.70,Interest Credited,,
3591432,1844,2016-12-31,Credit,Interest Credit,78,18631.00,Interest Credited,,
3590704,1827,2016-12-31,Credit,Interest Credit,22,19489.30,Interest Credited,,
3592686,1887,2016-12-31,Credit,Interest Credit,143,33930.20,Interest Credited,,
3591721,1852,2016-12-31,Credit,Interest Credit,107,25792.40,Interest Credited,,
3591360,1843,2016-12-31,Credit,Interest Credit,108,23110.60,Interest Credited,,
3592320,1874,2016-12-31,Credit,Interest Credit,83,19548.60,Interest Credited,,
3593268,1902,2016-12-31,Credit,Interest Credit,137,28426.80,Interest Credited,,
3590466,1822,2016-12-31,Credit,Interest Credit,121,29672.20,Interest Credited,,
3593529,1909,2016-12-31,Credit,Interest Credit,85,19365.00,Interest Credited,,
3591655,1851,2016-12-31,Credit,Interest Credit,106,20825.10,Interest Credited,,
3590184,1815,2016-12-31,Credit,Interest Credit,170,40375.70,Interest Credited,,
3619701,2697,2016-12-31,Credit,Interest Credit,120,25045.80,Interest Credited,,
3618891,2671,2016-12-31,Credit,Interest Credit,101,25944.10,Interest Credited,,
3619040,2676,2016-12-31,Credit,Interest Credit,153,37131.30,Interest Credited,,
3619962,2705,2016-12-31,Credit,Interest Credit,153,23969.10,Interest Credited,,
3618051,2647,2016-12-31,Credit,Interest Credit,148,36563.90,Interest Credited,,
3619851,2701,2016-12-31,Credit,Interest Credit,150,33783.30,Interest Credited,,
3619553,2694,2016-12-31,Credit,Interest Credit,194,43190.40,Interest Credited,,
3620099,2711,2016-12-31,Credit,Interest Credit,187,40244.00,Interest Credited,,
3619786,2700,2016-12-31,Credit,Interest Credit,112,34924.30,Interest Credited,,
3617129,2620,2016-12-31,Credit,Interest Credit,139,30641.20,Interest Credited,,
3618217,2651,2016-12-31,Credit,Interest Credit,198,29697.20,Interest Credited,,
3617258,2623,2016-12-31,Credit,Interest Credit,90,25130.30,Interest Credited,,
3617964,2645,2016-12-31,Credit,Interest Credit,134,33241.20,Interest Credited,,
3619308,2687,2016-12-31,Credit,Interest Credit,109,25599.20,Interest Credited,,
3617778,2641,2016-12-31,Credit,Interest Credit,232,45904.00,Interest Credited,,
3618115,2649,2016-12-31,Credit,Interest Credit,170,43046.80,Interest Credited,,
3619616,2695,2016-12-31,Credit,Interest Credit,164,43657.60,Interest Credited,,
3617683,2639,2016-12-31,Credit,Interest Credit,203,46903.70,Interest Credited,,
3620924,2736,2016-12-31,Credit,Interest Credit,143,32366.00,Interest Credited,,
3620718,2732,2016-12-31,Credit,Interest Credit,208,65027.10,Interest Credited,,
3620164,2712,2016-12-31,Credit,Interest Credit,132,31071.80,Interest Credited,,
3617501,2632,2016-12-31,Credit,Interest Credit,190,38726.90,Interest Credited,,
3621015,2738,2016-12-31,Credit,Interest Credit,65,24159.80,Interest Credited,,
3618828,2670,2016-12-31,Credit,Interest Credit,229,44670.30,Interest Credited,,
3618648,2666,2016-12-31,Credit,Interest Credit,78,18796.60,Interest Credited,,
3677033,6555,2016-12-31,Credit,Interest Credit,196,47558.00,Interest Credited,,
3682689,9337,2016-12-31,Credit,Interest Credit,235,54472.30,Interest Credited,,
3678934,6930,2016-12-31,Credit,Interest Credit,309,80155.20,Interest Credited,,
3673861,5991,2016-12-31,Credit,Interest Credit,37,25109.10,Interest Credited,,
3680374,7133,2016-12-31,Credit,Interest Credit,108,29137.40,Interest Credited,,
3680263,7123,2016-12-31,Credit,Interest Credit,293,71529.10,Interest Credited,,
3673983,6030,2016-12-31,Credit,Interest Credit,174,46537.40,Interest Credited,,
3680727,7190,2016-12-31,Credit,Interest Credit,156,39041.80,Interest Credited,,
3673672,5952,2016-12-31,Credit,Interest Credit,416,107784.10,Interest Credited,,
3673350,5891,2016-12-31,Credit,Interest Credit,233,52144.50,Interest Credited,,
3682264,5927,2016-12-31,Credit,Interest Credit,17,20772.70,Interest Credited,,
3675346,6273,2016-12-31,Credit,Interest Credit,143,28360.50,Interest Credited,,
3675975,6363,2016-12-31,Credit,Interest Credit,182,40113.90,Interest Credited,,
3677732,6701,2016-12-31,Credit,Interest Credit,98,18214.60,Interest Credited,,
3675835,6353,2016-12-31,Credit,Interest Credit,24,30158.80,Interest Credited,,
3676277,6425,2016-12-31,Credit,Interest Credit,120,24065.20,Interest Credited,,
3674051,6040,2016-12-31,Credit,Interest Credit,192,42669.10,Interest Credited,,
3675091,6226,2016-12-31,Credit,Interest Credit,259,45248.40,Interest Credited,,
3682923,10451,2016-12-31,Credit,Interest Credit,155,42062.50,Interest Credited,,
2355675,7769,2016-12-31,Withdrawal,Withdrawal in cash,15,56790.40,Payment on Statement,,
2350018,7753,2016-12-31,Withdrawal,Withdrawal in cash,15,64668.10,Payment on Statement,,
2357076,7774,2016-12-31,Withdrawal,Withdrawal in cash,100,82745.50,Payment on Statement,,
2707557,8957,2016-12-31,Withdrawal,Withdrawal in cash,15,66869.00,Payment on Statement,,
2715896,8982,2016-12-31,Withdrawal,Withdrawal in cash,15,42612.10,Payment on Statement,,
2699947,8934,2016-12-31,Withdrawal,Withdrawal in cash,15,52874.70,Payment on Statement,,
2730962,9034,2016-12-31,Withdrawal,Withdrawal in cash,15,30371.90,Payment on Statement,,
2733213,9041,2016-12-31,Withdrawal,Withdrawal in cash,15,44361.20,Payment on Statement,,
2733280,9041,2016-12-31,Withdrawal,Withdrawal in cash,8500,35861.20,,,
3439787,956,2016-12-31,Credit,Interest Credit,4,1503.60,Interest Credited,,
3439690,942,2016-12-31,Credit,Interest Credit,103,25361.50,Interest Credited,,
3438034,540,2016-12-31,Credit,Interest Credit,157,58054.80,Interest Credited,,
3438784,699,2016-12-31,Credit,Interest Credit,199,28368.90,Interest Credited,,
3437706,433,2016-12-31,Credit,Interest Credit,274,44645.00,Interest Credited,,
3438587,604,2016-12-31,Credit,Interest Credit,17,21135.00,Interest Credited,,
3439049,730,2016-12-31,Credit,Interest Credit,210,39577.20,Interest Credited,,
3437492,419,2016-12-31,Credit,Interest Credit,66,23078.40,Interest Credited,,
3438363,574,2016-12-31,Credit,Interest Credit,285,48068.40,Interest Credited,,
3437907,523,2016-12-31,Credit,Interest Credit,183,34449.20,Interest Credited,,
3437357,381,2016-12-31,Credit,Interest Credit,172,39994.20,Interest Credited,,
3437430,391,2016-12-31,Credit,Interest Credit,5,2505.30,Interest Credited,,
3437644,432,2016-12-31,Credit,Interest Credit,127,28752.80,Interest Credited,,
3438102,551,2016-12-31,Credit,Interest Credit,89,20121.60,Interest Credited,,
3438678,624,2016-12-31,Credit,Interest Credit,158,29725.10,Interest Credited,,
3438851,701,2016-12-31,Credit,Interest Credit,86,19461.80,Interest Credited,,
3438268,562,2016-12-31,Credit,Interest Credit,133,32167.20,Interest Credited,,
3439366,774,2016-12-31,Credit,Interest Credit,214,40423.30,Interest Credited,,
3581153,1544,2016-12-31,Credit,Interest Credit,176,38231.10,Interest Credited,,
3580845,1534,2016-12-31,Credit,Interest Credit,159,36721.60,Interest Credited,,
3579146,1481,2016-12-31,Credit,Interest Credit,69,16252.20,Interest Credited,,
3579789,1499,2016-12-31,Credit,Interest Credit,10,18560.00,Interest Credited,,
3579616,1495,2016-12-31,Credit,Interest Credit,240,63526.40,Interest Credited,,
3580325,1515,2016-12-31,Credit,Interest Credit,204,48090.20,Interest Credited,,
3580001,1507,2016-12-31,Credit,Interest Credit,263,58315.90,Interest Credited,,
3578982,1477,2016-12-31,Credit,Interest Credit,85,20605.00,Interest Credited,,
3579391,1487,2016-12-31,Credit,Interest Credit,18,14389.50,Interest Credited,,
3579554,1493,2016-12-31,Credit,Interest Credit,103,25149.00,Interest Credited,,
